States/UTs,Crime Head,Year,Persons arrested during the year_Male,Persons arrested during the year_Female,Persons arrested during the year_Total,Total number of persons under Trial_Male,Total number of persons under Trial_Female,Total number of persons under Trial_Total,Persons whose cases trials were completed during the year_Male,Persons whose cases trials were completed during the year_Female,Persons whose cases trials were completed during the year_Total,Persons convicted_Male,Persons convicted_Female,Persons convicted_Total,Persons acquitted_Male,Persons acquitted_Female,Persons acquitted_Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assam,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bihar,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,113,0,113,49,0,49,9,0,9,1,0,1,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,470,9,479,1120,9,1129,225,1,226,61,0,61,162,1,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goa,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,34,6,40,90,8,98,2,0,2,0,0,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,597,25,622,2803,30,2833,147,1,148,4,0,4,114,1,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,42,0,42,98,0,98,9,0,9,0,0,0,9,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,15,0,15,27,0,27,3,0,3,0,0,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jammu & Kashmir,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,120,2,122,437,2,439,34,0,34,0,0,0,34,0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharkhand,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,10,0,10,5,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karnataka,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,334,6,340,658,15,673,76,1,77,3,0,3,73,1,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerala,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,31,0,31,167,0,167,12,0,12,0,0,0,12,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,876,15,891,1394,15,1409,317,5,322,119,3,122,198,2,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,661,57,718,3081,112,3193,111,7,118,11,0,11,98,7,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manipur,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meghalaya,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,10,0,10,50,0,50,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mizoram,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagaland,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,4,0,4,2,0,2,1,0,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odisha,6.1 - Kidnapping & Abduction (Section 363 IPC),2014,180,0,180,321,8,329,17,1,18,0,0,0,17,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
